"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"24-06-2022";"00:00";22,1;12,4;54;80;20,5;;31,3;0;1009,9;974,3;0
11012;"Kremsmünster";383;"24-06-2022";"00:00";20,6;14,3;67;77;18,7;74;37,4;0;1009,9;965,6;0
11022;"Retz";320;"24-06-2022";"00:00";20,1;9,9;52;23;13,7;21;18,7;0;1013,2;976,4;0
11035;"Wien/Hohe Warte";203;"24-06-2022";"00:00";19,1;11;60;314;1,1;335;9,7;0;1013,3;989,1;0
11036;"Wien/Schwechat";183;"24-06-2022";"00:00";18,8;12,9;69;110;3,6;;16,6;0;1013,6;992,3;0
11101;"Bregenz";424;"24-06-2022";"00:00";18,9;15;78;360;8,6;305;28,8;0;1013;963,1;0
11121;"Innsbruck";579;"24-06-2022";"00:00";20,8;16,4;76;296;20,2;268;40;0;1009,6;944,1;0
11126;"Patscherkofel";2247;"24-06-2022";"00:00";10,9;8,1;82;166;44,3;172;64,1;0;;776,7;0
11130;"Kufstein";495;"24-06-2022";"00:00";20,8;16,8;78;267;2,2;75;11,2;0;1008,8;953,4;0
11150;"Salzburg";430;"24-06-2022";"00:00";19,7;17,5;88;260;3,6;;9,4;0;1008,4;958;0
11155;"Feuerkogel";1618;"24-06-2022";"00:00";15;11,4;80;178;30,6;176;42,8;0;;836,4;0
11157;"Aigen im Ennstal";640;"24-06-2022";"00:00";19,5;14,9;75;18;23,4;24;34,6;0;1011,3;938,2;0
11171;"Mariazell";866;"24-06-2022";"00:00";17,5;12,5;73;151;9,4;120;20,9;0;1012,8;916,3;0
11190;"Eisenstadt";184;"24-06-2022";"00:00";18,1;14;78;335;8,3;356;14,4;0;1013,1;991,9;0
11204;"Lienz";659;"24-06-2022";"00:00";19,7;16,3;81;10;2,9;280;33,8;0;1012,3;937,5;0
11240;"Graz/Flughafen";340;"24-06-2022";"00:00";19,5;17,7;89;0;1,8;;9,4;0;1014;972,4;0
11244;"Bad Gleichenberg";280;"24-06-2022";"00:00";17,6;16,3;91;332;2,9;331;5,4;0;1014,6;983,1;0
11265;"Villacher Alpe";2140;"24-06-2022";"00:00";10;10;100;194;36,4;192;43,6;0;;786,7;0
11331;"Klagenfurt/Flughafen";447;"24-06-2022";"00:00";20,2;16,4;79;155;4,3;157;8,6;0;1012,8;961,5;0
11343;"Sonnblick";3105;"24-06-2022";"00:00";4,9;3,6;91;219;24,1;244;41;;;700,5;0
11389;"St. Pölten";270;"24-06-2022";"00:00";19,4;13,4;68;31;7,9;21;14,8;0;1012,5;981,5;0
11010;"Linz/Hörsching";298;"24-06-2022";"01:00";21,1;12,3;57;80;18,4;;29,5;0;1009,9;974,2;0
11012;"Kremsmünster";383;"24-06-2022";"01:00";19,7;14,3;72;63;16,6;79;28,8;0;1010;965,5;0
11022;"Retz";320;"24-06-2022";"01:00";19;10,1;56;36;11,5;26;22;0;1013,3;976,4;0
11035;"Wien/Hohe Warte";203;"24-06-2022";"01:00";18;11;63;33;7,2;40;9,4;0;1013,5;989,2;0
11036;"Wien/Schwechat";183;"24-06-2022";"01:00";17,6;12,9;74;190;9,4;;11,2;0,1;1013,7;992,3;0
11101;"Bregenz";424;"24-06-2022";"01:00";18,6;14,5;77;218;2,2;75;15,8;0;1012,6;962,6;0
11121;"Innsbruck";579;"24-06-2022";"01:00";20;16,2;79;281;13,7;269;24,1;0;1009,8;944,1;0
11126;"Patscherkofel";2247;"24-06-2022";"01:00";10,9;8,1;83;163;37,1;166;54,7;0;;776,8;0
11130;"Kufstein";495;"24-06-2022";"01:00";21,5;16,6;74;39;7,2;43;18,7;0;1009,5;954,2;0
11150;"Salzburg";430;"24-06-2022";"01:00";19,7;17,4;87;210;3,6;;9,4;0;1008,7;958,3;0
11155;"Feuerkogel";1618;"24-06-2022";"01:00";15;11,2;79;185;31,3;182;37,8;0;;836,5;0
11157;"Aigen im Ennstal";640;"24-06-2022";"01:00";18,7;14,9;78;22;22;32;32,4;0;1011,8;938,4;0
11171;"Mariazell";866;"24-06-2022";"01:00";18,1;12,5;70;148;15,5;170;27,7;0;1012;915,8;0
11190;"Eisenstadt";184;"24-06-2022";"01:00";17,2;13,6;80;335;7,6;355;15,8;0;1013,3;992;0
11204;"Lienz";659;"24-06-2022";"01:00";19,1;16,2;83;258;4,7;222;13;0;1012,6;937,6;0
11240;"Graz/Flughafen";340;"24-06-2022";"01:00";19,4;17,6;89;30;3,6;;5,4;0;1013,9;972,3;0
11244;"Bad Gleichenberg";280;"24-06-2022";"01:00";17,1;16,3;94;342;3,6;346;5;0;1014,5;983;0
11265;"Villacher Alpe";2140;"24-06-2022";"01:00";9,2;9,2;100;214;32;216;43,6;1,7;;786,9;0
11331;"Klagenfurt/Flughafen";447;"24-06-2022";"01:00";20,5;16,5;78;303;2,2;100;10,1;0;1013,1;961,8;0
11343;"Sonnblick";3105;"24-06-2022";"01:00";4,9;4,9;100;241;37,4;249;47,5;;;700,3;0
11389;"St. Pölten";270;"24-06-2022";"01:00";18,8;12,7;68;11;6,1;19;16,9;0;1012,3;981,2;0
11010;"Linz/Hörsching";298;"24-06-2022";"04:00";18,5;12,1;66;120;3,6;;16,6;0;1009,7;973,7;0
11012;"Kremsmünster";383;"24-06-2022";"04:00";18,2;13,8;76;267;14;228;20,2;0;1010,2;965,5;0
11022;"Retz";320;"24-06-2022";"04:00";17,2;10,3;64;30;18;26;23,4;0;1012,5;975,4;0
11035;"Wien/Hohe Warte";203;"24-06-2022";"04:00";15,8;12;78;64;2,5;68;7,6;0;1012,7;988,3;0
11036;"Wien/Schwechat";183;"24-06-2022";"04:00";16,2;13,8;86;160;7,6;;11,2;0,1;1013,2;991,7;0
